num_blocks,threads_per_block,async_time_us,sync_time_us
1,1,2.876000,6.630200
1,2,2.292000,6.024200
1,5,2.344000,6.100200
1,10,2.344000,6.078000
1,22,2.314000,6.034200
1,47,2.248200,5.998000
1,102,2.262000,6.010200
1,219,2.254000,6.002000
1,474,2.282000,6.038200
1,1024,2.284200,5.960000
3,1,2.554000,18.450399
3,2,2.264000,6.024200
3,5,2.298000,6.144000
3,10,2.264000,6.036200
3,22,2.454000,6.222200
3,47,2.264200,5.998000
3,102,2.302000,6.070000
3,219,2.272000,6.014200
3,474,2.288000,6.010200
3,1024,2.264200,5.980000
9,1,2.584000,10.984200
9,2,2.258200,5.976000
9,5,2.280000,6.062000
9,10,2.330000,5.990200
9,22,2.270000,5.994200
9,47,2.304200,5.988000
9,102,2.280000,5.986000
9,219,2.326000,5.966200
9,474,2.282000,6.030200
9,1024,2.282200,6.000000
25,1,2.402000,9.526000
25,2,2.322000,6.092200
25,5,2.256000,6.018000
25,10,2.284000,6.136200
25,22,2.256200,6.012000
25,47,2.288000,6.042200
25,102,2.248000,6.000000
25,219,2.256000,6.060200
25,474,2.244200,5.988000
25,1024,2.340000,6.036200
75,1,2.494000,9.610200
75,2,2.290000,6.174000
75,5,2.310000,6.016200
75,10,2.302200,6.234000
75,22,2.262000,6.036200
75,47,2.298000,6.172000
75,102,2.254000,6.082200
75,219,2.338000,6.132200
75,474,2.276000,6.188200
75,1024,2.298000,6.434200
219,1,2.390000,9.762200
219,2,2.306000,6.300000
219,5,2.354000,6.290200
219,10,2.290000,6.302200
219,22,2.306200,6.276000
219,47,2.300000,6.274200
219,102,2.282000,6.188000
219,219,2.308200,6.220000
219,474,2.344000,6.374200
219,1024,2.438000,6.962200
645,1,2.540000,10.166200
645,2,2.282000,6.544200
645,5,2.326000,6.504000
645,10,2.298200,6.470000
645,22,2.298000,6.528200
645,47,2.300000,6.534200
645,102,2.298000,6.540200
645,219,2.286000,6.534000
645,474,2.328200,7.178000
645,1024,2.296000,9.550200
1896,1,2.424000,11.000400
1896,2,2.326000,8.076200
1896,5,2.296000,8.046200
1896,10,2.338000,8.030000
1896,22,2.334000,8.026200
1896,47,2.368000,8.008200
1896,102,2.298200,8.082000
1896,219,2.314000,8.366200
1896,474,2.268000,10.952200
1896,1024,2.320200,18.024200
5574,1,2.508000,15.618400
5574,2,2.310200,14.112000
5574,5,2.276200,13.728200
5574,10,2.264000,13.828200
5574,22,2.296200,13.774200
5574,47,2.286200,13.482000
5574,102,2.268000,13.384200
5574,219,2.298000,14.216400
5574,474,2.280000,22.246401
5574,1024,2.368200,42.796600
16384,1,2.452000,30.498600
16384,2,2.294000,30.474600
16384,5,2.320000,30.382601
16384,10,2.354000,30.576599
16384,22,2.294200,30.462400
16384,47,2.492000,30.324600
16384,102,2.638000,30.366400
16384,219,2.614200,31.674400
16384,474,2.642200,55.527000
16384,1024,2.620000,115.846001
