Size(Bytes),Blocks,ThreadsPerBlock,Bandwidth(GB/s)
1024,1,1024,0.28
1024,2,1024,0.26
1024,3,1024,0.31
1024,4,1024,0.28
1024,5,1024,0.28
1024,6,1024,0.28
1024,7,1024,0.28
1024,8,1024,0.28
1024,9,1024,0.28
1024,10,1024,0.28
1024,11,1024,0.28
1024,12,1024,0.28
1024,13,1024,0.28
1024,14,1024,0.27
1024,15,1024,0.28
1024,16,1024,0.31
1024,17,1024,0.28
1024,18,1024,0.31
1024,19,1024,0.28
1024,20,1024,0.28
1024,21,1024,0.28
1024,22,1024,0.28
1024,23,1024,0.28
1024,24,1024,0.28
1024,25,1024,0.28
1024,26,1024,0.28
1024,27,1024,0.21
1024,28,1024,0.28
1024,29,1024,0.30
1024,30,1024,0.28
1024,31,1024,0.28
1024,32,1024,0.28
4096,1,1024,1.09
4096,2,1024,1.09
4096,3,1024,1.08
4096,4,1024,1.09
4096,5,1024,1.08
4096,6,1024,1.08
4096,7,1024,1.08
4096,8,1024,1.03
4096,9,1024,1.09
4096,10,1024,1.09
4096,11,1024,1.09
4096,12,1024,1.09
4096,13,1024,1.08
4096,14,1024,1.07
4096,15,1024,1.08
4096,16,1024,1.08
4096,17,1024,1.08
4096,18,1024,1.07
4096,19,1024,0.05
4096,20,1024,1.07
4096,21,1024,1.09
4096,22,1024,1.09
4096,23,1024,1.09
4096,24,1024,1.08
4096,25,1024,1.08
4096,26,1024,1.08
4096,27,1024,1.08
4096,28,1024,1.08
4096,29,1024,1.09
4096,30,1024,1.03
4096,31,1024,1.09
4096,32,1024,1.08
16384,1,1024,4.04
16384,2,1024,4.03
16384,3,1024,4.05
16384,4,1024,4.04
16384,5,1024,4.24
16384,6,1024,4.01
16384,7,1024,4.34
16384,8,1024,4.00
16384,9,1024,4.04
16384,10,1024,4.03
16384,11,1024,4.06
16384,12,1024,4.02
16384,13,1024,4.06
16384,14,1024,4.01
16384,15,1024,4.08
16384,16,1024,4.02
16384,17,1024,4.03
16384,18,1024,3.53
16384,19,1024,4.07
16384,20,1024,4.60
16384,21,1024,4.06
16384,22,1024,4.04
16384,23,1024,4.05
16384,24,1024,4.05
16384,25,1024,4.03
16384,26,1024,4.04
16384,27,1024,4.04
16384,28,1024,4.02
16384,29,1024,3.76
16384,30,1024,4.04
16384,31,1024,4.13
16384,32,1024,4.04
65536,1,1024,9.81
65536,2,1024,9.87
65536,3,1024,9.93
65536,4,1024,9.58
65536,5,1024,10.13
65536,6,1024,9.56
65536,7,1024,10.77
65536,8,1024,9.74
65536,9,1024,10.29
65536,10,1024,9.92
65536,11,1024,10.06
65536,12,1024,8.22
65536,13,1024,9.87
65536,14,1024,11.14
65536,15,1024,10.31
65536,16,1024,10.91
65536,17,1024,10.52
65536,18,1024,10.39
65536,19,1024,10.48
65536,20,1024,9.58
65536,21,1024,9.74
65536,22,1024,9.57
65536,23,1024,9.78
65536,24,1024,9.45
65536,25,1024,9.06
65536,26,1024,9.68
65536,27,1024,11.44
65536,28,1024,9.43
65536,29,1024,9.71
65536,30,1024,9.58
65536,31,1024,10.11
65536,32,1024,9.67
262144,1,1024,25.68
262144,2,1024,23.06
262144,3,1024,23.09
262144,4,1024,22.81
262144,5,1024,24.73
262144,6,1024,23.09
262144,7,1024,24.21
262144,8,1024,24.12
262144,9,1024,22.81
262144,10,1024,24.53
262144,11,1024,23.19
262144,12,1024,25.15
262144,13,1024,23.21
262144,14,1024,22.99
262144,15,1024,23.46
262144,16,1024,22.52
262144,17,1024,23.58
262144,18,1024,22.44
262144,19,1024,22.91
262144,20,1024,23.50
262144,21,1024,23.55
262144,22,1024,22.80
262144,23,1024,22.79
262144,24,1024,22.53
262144,25,1024,23.16
262144,26,1024,22.99
262144,27,1024,22.96
262144,28,1024,24.92
262144,29,1024,23.40
262144,30,1024,24.59
262144,31,1024,23.28
262144,32,1024,21.32
1048576,1,1024,35.59
1048576,2,1024,45.81
1048576,3,1024,35.56
1048576,4,1024,35.34
1048576,5,1024,35.44
1048576,6,1024,35.33
1048576,7,1024,35.35
1048576,8,1024,35.28
1048576,9,1024,35.63
1048576,10,1024,35.16
1048576,11,1024,40.39
1048576,12,1024,35.18
1048576,13,1024,42.31
1048576,14,1024,35.36
1048576,15,1024,35.18
1048576,16,1024,35.19
1048576,17,1024,35.55
1048576,18,1024,35.01
1048576,19,1024,35.38
1048576,20,1024,35.29
1048576,21,1024,35.49
1048576,22,1024,35.18
1048576,23,1024,35.40
1048576,24,1024,35.23
1048576,25,1024,35.30
1048576,26,1024,34.87
1048576,27,1024,35.25
1048576,28,1024,46.79
1048576,29,1024,35.27
1048576,30,1024,43.68
1048576,31,1024,35.24
1048576,32,1024,35.69
4194304,1,1024,21.93
4194304,2,1024,21.96
4194304,3,1024,21.90
4194304,4,1024,21.83
4194304,5,1024,21.95
4194304,6,1024,21.78
4194304,7,1024,21.95
4194304,8,1024,21.71
4194304,9,1024,22.03
4194304,10,1024,21.88
4194304,11,1024,22.13
4194304,12,1024,21.92
4194304,13,1024,22.13
4194304,14,1024,21.86
4194304,15,1024,22.15
4194304,16,1024,21.92
4194304,17,1024,22.08
4194304,18,1024,21.92
4194304,19,1024,22.08
4194304,20,1024,21.58
4194304,21,1024,22.06
4194304,22,1024,25.90
4194304,23,1024,21.94
4194304,24,1024,25.86
4194304,25,1024,21.98
4194304,26,1024,22.01
4194304,27,1024,22.06
4194304,28,1024,21.89
4194304,29,1024,22.05
4194304,30,1024,21.82
4194304,31,1024,22.00
4194304,32,1024,21.78
16777216,1,1024,27.46
16777216,2,1024,23.77
16777216,3,1024,27.73
16777216,4,1024,25.56
16777216,5,1024,27.53
16777216,6,1024,27.79
16777216,7,1024,27.60
16777216,8,1024,27.75
16777216,9,1024,27.60
16777216,10,1024,27.70
16777216,11,1024,27.55
16777216,12,1024,27.69
16777216,13,1024,27.57
16777216,14,1024,27.70
16777216,15,1024,23.50
16777216,16,1024,27.70
16777216,17,1024,27.56
16777216,18,1024,27.76
16777216,19,1024,27.52
16777216,20,1024,27.68
16777216,21,1024,23.08
16777216,22,1024,27.77
16777216,23,1024,27.56
16777216,24,1024,27.72
16777216,25,1024,27.53
16777216,26,1024,23.31
16777216,27,1024,23.10
16777216,28,1024,22.94
16777216,29,1024,24.51
16777216,30,1024,27.73
16777216,31,1024,27.63
16777216,32,1024,27.70
67108864,1,1024,28.18
67108864,2,1024,26.92
67108864,3,1024,26.87
67108864,4,1024,26.61
67108864,5,1024,26.70
67108864,6,1024,25.85
67108864,7,1024,26.68
67108864,8,1024,28.35
67108864,9,1024,28.14
67108864,10,1024,28.37
67108864,11,1024,28.16
67108864,12,1024,28.37
67108864,13,1024,28.18
67108864,14,1024,28.37
67108864,15,1024,28.17
67108864,16,1024,28.36
67108864,17,1024,28.15
67108864,18,1024,28.35
67108864,19,1024,28.18
67108864,20,1024,28.37
67108864,21,1024,26.37
67108864,22,1024,28.23
67108864,23,1024,28.16
67108864,24,1024,28.37
67108864,25,1024,28.17
67108864,26,1024,28.37
67108864,27,1024,28.15
67108864,28,1024,26.36
67108864,29,1024,26.64
67108864,30,1024,28.36
67108864,31,1024,28.17
67108864,32,1024,28.35
268435456,1,1024,28.26
268435456,2,1024,28.17
268435456,3,1024,27.96
268435456,4,1024,27.86
268435456,5,1024,27.82
268435456,6,1024,28.28
268435456,7,1024,27.98
268435456,8,1024,27.80
268435456,9,1024,27.76
268435456,10,1024,28.24
268435456,11,1024,27.85
268435456,12,1024,27.71
268435456,13,1024,27.84
268435456,14,1024,28.29
268435456,15,1024,28.00
268435456,16,1024,28.08
268435456,17,1024,27.86
268435456,18,1024,27.89
268435456,19,1024,27.77
268435456,20,1024,28.31
268435456,21,1024,27.75
268435456,22,1024,28.08
268435456,23,1024,27.97
268435456,24,1024,28.21
268435456,25,1024,28.04
268435456,26,1024,27.97
268435456,27,1024,28.00
268435456,28,1024,28.29
268435456,29,1024,27.70
268435456,30,1024,28.24
268435456,31,1024,27.80
268435456,32,1024,28.52
1073741824,1,1024,28.26
1073741824,2,1024,28.49
1073741824,3,1024,28.28
1073741824,4,1024,28.50
1073741824,5,1024,28.27
1073741824,6,1024,28.52
1073741824,7,1024,28.23
1073741824,8,1024,28.46
1073741824,9,1024,28.27
1073741824,10,1024,28.50
1073741824,11,1024,28.27
1073741824,12,1024,28.51
1073741824,13,1024,28.28
1073741824,14,1024,28.43
1073741824,15,1024,28.26
1073741824,16,1024,28.50
1073741824,17,1024,28.29
1073741824,18,1024,28.47
1073741824,19,1024,28.26
1073741824,20,1024,28.50
1073741824,21,1024,28.30
1073741824,22,1024,28.50
1073741824,23,1024,28.28
1073741824,24,1024,28.51
1073741824,25,1024,28.26
1073741824,26,1024,28.51
1073741824,27,1024,28.26
1073741824,28,1024,28.47
1073741824,29,1024,28.29
1073741824,30,1024,28.18
1073741824,31,1024,28.12
1073741824,32,1024,28.15
