Size(Bytes),ThreadsPerBlock,Blocks,Stride,Bandwidth(GB/s)
1024,1024,1,1,0.55GB/s
1024,1024,1,2,0.56GB/s
1024,1024,1,4,0.55GB/s
1024,1024,1,8,0.55GB/s
1024,1024,1,16,0.55GB/s
1024,1024,1,32,0.55GB/s
1024,1024,2,1,1.11GB/s
1024,1024,2,2,1.11GB/s
1024,1024,2,4,1.10GB/s
1024,1024,2,8,1.10GB/s
1024,1024,2,16,0.94GB/s
1024,1024,2,32,1.17GB/s
1024,1024,4,1,2.50GB/s
1024,1024,4,2,2.47GB/s
1024,1024,4,4,2.21GB/s
1024,1024,4,8,2.21GB/s
1024,1024,4,16,2.19GB/s
1024,1024,4,32,2.21GB/s
1024,1024,8,1,4.47GB/s
1024,1024,8,2,4.46GB/s
1024,1024,8,4,4.40GB/s
1024,1024,8,8,4.42GB/s
1024,1024,8,16,4.43GB/s
1024,1024,8,32,4.36GB/s
1024,1024,16,1,8.87GB/s
1024,1024,16,2,8.86GB/s
1024,1024,16,4,8.92GB/s
1024,1024,16,8,8.84GB/s
1024,1024,16,16,8.76GB/s
1024,1024,16,32,8.80GB/s
1024,1024,32,1,17.79GB/s
1024,1024,32,2,17.05GB/s
1024,1024,32,4,17.67GB/s
1024,1024,32,8,18.83GB/s
1024,1024,32,16,17.87GB/s
1024,1024,32,32,17.38GB/s
4096,1024,1,1,0.55GB/s
4096,1024,1,2,0.56GB/s
4096,1024,1,4,0.55GB/s
4096,1024,1,8,0.55GB/s
4096,1024,1,16,0.55GB/s
4096,1024,1,32,0.55GB/s
4096,1024,2,1,1.11GB/s
4096,1024,2,2,1.11GB/s
4096,1024,2,4,1.10GB/s
4096,1024,2,8,1.11GB/s
4096,1024,2,16,1.10GB/s
4096,1024,2,32,1.09GB/s
4096,1024,4,1,2.22GB/s
4096,1024,4,2,2.20GB/s
4096,1024,4,4,2.22GB/s
4096,1024,4,8,2.22GB/s
4096,1024,4,16,1.88GB/s
4096,1024,4,32,2.34GB/s
4096,1024,8,1,4.96GB/s
4096,1024,8,2,4.98GB/s
4096,1024,8,4,4.43GB/s
4096,1024,8,8,4.44GB/s
4096,1024,8,16,4.45GB/s
4096,1024,8,32,4.44GB/s
4096,1024,16,1,8.90GB/s
4096,1024,16,2,8.90GB/s
4096,1024,16,4,8.92GB/s
4096,1024,16,8,8.81GB/s
4096,1024,16,16,8.85GB/s
4096,1024,16,32,8.79GB/s
4096,1024,32,1,17.81GB/s
4096,1024,32,2,17.63GB/s
4096,1024,32,4,17.77GB/s
4096,1024,32,8,17.83GB/s
4096,1024,32,16,17.68GB/s
4096,1024,32,32,17.72GB/s
16384,1024,1,1,0.55GB/s
16384,1024,1,2,0.51GB/s
16384,1024,1,4,0.53GB/s
16384,1024,1,8,0.58GB/s
16384,1024,1,16,0.58GB/s
16384,1024,1,32,0.55GB/s
16384,1024,2,1,1.12GB/s
16384,1024,2,2,1.11GB/s
16384,1024,2,4,1.11GB/s
16384,1024,2,8,1.11GB/s
16384,1024,2,16,1.10GB/s
16384,1024,2,32,1.09GB/s
16384,1024,4,1,2.22GB/s
16384,1024,4,2,2.23GB/s
16384,1024,4,4,2.23GB/s
16384,1024,4,8,2.21GB/s
16384,1024,4,16,2.19GB/s
16384,1024,4,32,2.20GB/s
16384,1024,8,1,4.47GB/s
16384,1024,8,2,4.43GB/s
16384,1024,8,4,4.43GB/s
16384,1024,8,8,4.20GB/s
16384,1024,8,16,4.41GB/s
16384,1024,8,32,4.69GB/s
16384,1024,16,1,9.53GB/s
16384,1024,16,2,8.96GB/s
16384,1024,16,4,8.87GB/s
16384,1024,16,8,8.82GB/s
16384,1024,16,16,8.91GB/s
16384,1024,16,32,8.77GB/s
16384,1024,32,1,17.64GB/s
